TeamMember,Title,Plays
SNK Corporation,The King of Fighters XV,718.0
Sega,Yakuza 0,15000.0
Sega Technical Institute,Sonic the Hedgehog 3 & Knuckles,6000.0
Siactro,Super Kiwi 64,239.0
Sierra Entertainment,Half-Life,13000.0
Skip Ltd.,Chibi-Robo!,1000.0
Sledgehammer Games,Call of Duty: Modern Warfare 3,10000.0
Sonic Team,Sonic the Hedgehog 2,10000.0
Sony Computer Entertainment,The Last of Us,17000.0
Sony Interactive Entertainment,Marvel's Spider-Man,21000.0
Sora,Super Smash Bros. Ultimate,25000.0
Sorath,Hyper Demon,245.0
Spike ChunSoft,Anonymous;Code,8.0
Splashteam,Tinykin,753.0
Square,Vagrant Story,1000.0
Square Enix,Overwatch,19000.0
Square Enix Creative Business Unit III,Final Fantasy XVI,37.0
"Square Enix\"",Life is Strange,15000.0
St. GIGA,The Legend of Zelda: A Link to the Past,13000.0
Steel Crate Games,Keep Talking and Nobody Explodes,2000.0
Striking Distance Studios,The Callisto Protocol,737.0
Studio MDHR,Cuphead,18000.0
Supergiant Games,Hades,21000.0
THQ,Nicktoons Unite!,785.0
TYPE-MOON,Witch on the Holy Night,244.0
Take-Two Interactive,Red Dead Redemption 2,19000.0
Tango Gameworks,Hi-Fi Rush,3000.0
Team Cherry,Hollow Knight,21000.0
Team Ico,Shadow of the Colossus,10000.0
Team Meat,Super Meat Boy,10000.0
Team NINJA,Ninja Gaiden Black,992.0
Team Salvato,Doki Doki Literature Club!,14000.0
Team Silent,Silent Hill 2: Restless Dreams,514.0
Tecmo,Ninja Gaiden Black,992.0
Telltale Games,The Walking Dead: Season One,12000.0
Terrible Toybox,Return to Monkey Island,538.0
ThatGameCompany,Journey,12000.0
The New York Times,Wordle,3000.0
The Pokémon Company,Pokémon Go,14000.0
Thomas Happ Games,Axiom Verge 2,312.0
Titus Software,Superman: The New Superman Adventures,859.0
Treyarch,Call of Duty: Black Ops,14000.0
Turtle Rock Studios,Left 4 Dead 2,19000.0
Ubisoft Entertainment,Far Cry 3,14000.0
Ubisoft Montreal,Far Cry 3,14000.0
Ubisoft Paris,Mario + Rabbids Sparks of Hope,356.0
Ubisoft Shanghai,Tom Clancy's Splinter Cell: Pandora Tomorrow,1000.0
Valve,Portal 2,29000.0
Vanillaware,Odin Sphere: Leifthrasir,895.0
Victor Interactive Software,"Flower, Sun, and Rain",632.0
Virgin Interactive Entertainment (Europe) Ltd.,Marvel vs. Capcom: Clash of Super Heroes,2000.0
Visceral Games,Dead Space 2,6000.0
Volition,Saints Row: Gat Out of Hell,2000.0
WB Games,The Witcher 3: Wild Hunt,17000.0
Warner Bros. Interactive Entertainment,Batman: Arkham Knight,13000.0
WolfEye Studios,Weird West,405.0
Xbox Game Studios,Ori and the Will of the Wisps,6000.0
Ysbryd Games,World of Horror,871.0
ZA/UM,Disco Elysium: The Final Cut,6000.0
h.a.n.d. Inc.,"Flower, Sun, and Rain: Murder and Mystery in Paradise",408.0
id Software,Doom,18000.0
kouri,Ib,787.0
miHoYo,Genshin Impact,14000.0
niceplay game,Potion Craft,471.0
panstasz,World of Horror,871.0
tinyBuild,Tinykin,753.0
tobyfox,Undertale,28000.0
